ITEM,DESCRIP,Gauge,Color
PR12NR26DKWW        ,*NO RIB* 26GA DARK BROWN / WHITE WHITE SMP PROLOK 12                                                ,26,DARK BROWN/WHITE WHI
SC26DKWW16          ,"26GA DARK BROWN / WHITE WHITE SMP 16"" SLIT COIL                                                     ",26,DARK BROWN/WHITE WHI
CLF26PWDK36         ,"*CUSTOM LENGTH* 26GA POLAR WHITE / DARK BROWN SMP 36"" FLASHING                                      ",26,POLAR WHITE/DARK BRO
CLF26PWDK30         ,"*CUSTOM LENGTH* 26GA POLAR WHITE / DARK BROWN SMP 30"" FLASHING                                      ",26,POLAR WHITE/DARK BRO
CLF26PWDK24         ,"*CUSTOM LENGTH* 26GA POLAR WHITE / DARK BROWN SMP 24"" FLASHING                                      ",26,POLAR WHITE/DARK BRO
CLF26PWDK18         ,"*CUSTOM LENGTH* 26GA POLAR WHITE / DARK BROWN SMP 18"" FLASHING                                      ",26,POLAR WHITE/DARK BRO
CLF26PWDK12         ,"*CUSTOM LENGTH* 26GA POLAR WHITE / DARK BROWN SMP 12"" FLASHING                                      ",26,POLAR WHITE/DARK BRO
CLF26PWDK9          ,"*CUSTOM LENGTH* 26GA POLAR WHITE / DARK BROWN SMP 9"" FLASHING                                       ",26,POLAR WHITE/DARK BRO
CLF26PWDK6          ,"*CUSTOM LENGTH* 26GA POLAR WHITE / DARK BROWN SMP 6"" FLASHING                                       ",26,POLAR WHITE/DARK BRO
CLF26PWDK4          ,"*CUSTOM LENGTH* 26GA POLAR WHITE / DARK BROWN SMP 4"" FLASHING                                       ",26,POLAR WHITE/DARK BRO
PR12NR26MISHB       ,*NO RIB* 26GA MIST GREEN / HERON BLUE SMP PROLOK 12                                                 ,26,MIST GREEN/HERON BLU
CLF26GRAWA36        ,"*CUSTOM LENGTH* 26GA GRAPHITE / WASH TEX 36"" FLASHING                                               ",26,GRAPHITE/WASH       
CLF26GRAWA30        ,"*CUSTOM LENGTH* 26GA GRAPHITE / WASH TEX 30"" FLASHING                                               ",26,GRAPHITE/WASH       
CLF26GRAWA24        ,"*CUSTOM LENGTH* 26GA GRAPHITE / WASH TEX 24"" FLASHING                                               ",26,GRAPHITE/WASH       
CLF26GRAWA12        ,"*CUSTOM LENGTH* 26GA GRAPHITE / WASH TEX 12"" FLASHING                                               ",26,GRAPHITE/WASH       
CLF26GRAWA9         ,"*CUSTOM LENGTH* 26GA GRAPHITE / WASH TEX 9"" FLASHING                                                ",26,GRAPHITE/WASH       
CLF26GRAWA6         ,"*CUSTOM LENGTH* 26GA GRAPHITE / WASH TEX 6"" FLASHING                                                ",26,GRAPHITE/WASH       
CLF26GRAWA4         ,"*CUSTOM LENGTH* 26GA GRAPHITE / WASH TEX 4"" FLASHING                                                ",26,GRAPHITE/WASH       
636DC26DKPW         ,26GA DARK BROWN / POLAR WHITE SMP 636DC                                                             ,26,POLAR WHITE/DARK BRO
HFICP24ASHWA        ,24GA ASHWOOD / WASH PE HFICP                                                                        ,24,ASHWOOD/WASH        
HFJTV26CGWA         ,26GA CHARCOAL GREY / WASH SMP HFJTV                                                                 ,26,CHARCOAL GREY/WASH  
WM1RIB29WWWA        ,29GA WHITE WHITE / WASH SMP WM1RIB                                                                  ,29,WHITE WHITE/WASH    
PB622DKWA           ,22GA DARK BROWN / WASH SMP PROBOARD 6                                                               ,22,DARK BROWN/WASH     
SC22DKWA8           ,"22GA DARK BROWN / WASH SMP 8.85"" SLIT COIL                                                          ",22,DARK BROWN/WASH     
VP1224MESWA         ,"24GA MESQUITE / WASH PVDF 12"" VARIABLE PLANK                                                        ",24,MESQUITE/WASH       
VP1224SLGWA         ,"24GA SLATE GREY / WASH PVDF 12"" VARIABLE PLANK                                                      ",24,SLATE GREY/WASH     
VP1224WZWA          ,"24GA WEATHERED ZINC / WASH PVDF 12"" VARIABLE PLANK                                                  ",24,WEATHERED ZINC/WASH 
VP1224CGWA          ,"24GA CHARCOAL GREY / WASH SMP 12"" VARIABLE PLANK                                                    ",24,CHARCOAL GREY/WASH  
CLF26SHGD36         ,"*CUSTOM LENGTH* 26GA SAPPHIRE BLUE / GOLD SMP 36"" FLASHING                                          ",26,SAPPHIRE BLUE/GOLD  
CLF26SHGD30         ,"*CUSTOM LENGTH* 26GA SAPPHIRE BLUE / GOLD SMP 30"" FLASHING                                          ",26,SAPPHIRE BLUE/GOLD  
CLF26SHGD24         ,"*CUSTOM LENGTH* 26GA SAPPHIRE BLUE / GOLD SMP 24"" FLASHING                                          ",26,SAPPHIRE BLUE/GOLD  
CLF26SHGD18         ,"*CUSTOM LENGTH* 26GA SAPPHIRE BLUE / GOLD SMP 18"" FLASHING                                          ",26,SAPPHIRE BLUE/GOLD  
CLF26SHGD15         ,"*CUSTOM LENGTH* 26GA SAPPHIRE BLUE / GOLD SMP 15"" FLASHING                                          ",26,SAPPHIRE BLUE/GOLD  
CLF26SHGD12         ,"*CUSTOM LENGTH* 26GA SAPPHIRE BLUE / GOLD SMP 12"" FLASHING                                          ",26,SAPPHIRE BLUE/GOLD  
CLF26SHGD9          ,"*CUSTOM LENGTH* 26GA SAPPHIRE BLUE / GOLD SMP 9"" FLASHING                                           ",26,SAPPHIRE BLUE/GOLD  
CLF26SHGD6          ,"*CUSTOM LENGTH* 26GA SAPPHIRE BLUE / GOLD SMP 6"" FLASHING                                           ",26,SAPPHIRE BLUE/GOLD  
CLF26SHGD4          ,"*CUSTOM LENGTH* 26GA SAPPHIRE BLUE / GOLD SMP 4"" FLASHING                                           ",26,SAPPHIRE BLUE/GOLD  
EZJ.7524MESWA       ,"24GA MESQUITE / WASH PVDF 3/4"" EZLOK J-TRIM                                                         ",24,MESQUITE/WASH       
HF6P22BWWW          ,*PERF* 22GA BONE WHITE / WHITE WHITE SMP HF6                                                        ,22,BONE WHITE/WHITE    
HF6P22DKWA          ,*PERF* 22GA DARK BROWN / WASH SMP HF6                                                               ,22,DARK BROWN/WASH     
SC22BWWW9           ,"22GA BONE WHITE / WHITE WHITE SMP 9.668"" SLIT COIL                                                  ",22,BONE WHITE/WASH     
SC22DKWA9           ,"22GA DARK BROWN / WASH SMP 9.668"" SLIT COIL                                                         ",22,DARK BROWN/WASH     
1236R24CAIRON       ,*REVERSE* 24GA CASHMERE / IRON ORE SMP WF1236                                                       ,24,IRON ORE/CASHMERE   
PRJT229BUWA         ,29GA BURGUNDY / WASH SMP PRJT2                                                                      ,29,BURGUNDY/WASH       
HFDC29BUWA          ,29GA BURGUNDY / WASH SMP HFDC                                                                       ,29,BURGUNDY/WASH       
VP4524LPWA          ,"24GA LIGHT PINE / WASH PE 4.5"" VARIABLE PLANK                                                       ",24,LIGHT PINE/WASH     
WSICC26SWIRON       ,26GA SURF WHITE / IRON ORE SMP WSICC                                                                ,26,IRON ORE/SURF WHITE 
WSHD26SWIRON        ,26GA SURF WHITE / IRON ORE SMP WSHD                                                                 ,26,IRON ORE/SURF WHITE 
WSCC26SWIRON        ,26GA SURF WHITE / IRON ORE SMP WSCC                                                                 ,26,IRON ORE/SURF WHITE 
WSSB26SWIRON        ,26GA SURF WHITE / IRON ORE SMP WSSB                                                                 ,26,IRON ORE/SURF WHITE 
WSWT26SWIRON        ,26GA SURF WHITE / IRON ORE SMP WSWT                                                                 ,26,IRON ORE/SURF WHITE 
SS226BKBK           ,26GA BLACK / BLACK SMP SS2 (REINFORCED)                                                             ,26,BLACK/BLACK         
123622WCWA          ,22GA WEATHERED COPPER / WASH PVDF WF1236                                                            ,22,WEATHERED COPPER/WAS
MC22WCWA43S         ,"22GA WEATHERED COPPER / WASH PVDF 43"" GR33 MASTER COIL *S/O                                         ",22,WEATHERED COPPER/WAS
WF636R22WAWC        ,22GA WASH / WEATHERED COPPER PVDF WF636R                                                            ,22,WEATHERED COPPER/WAS
636SW26TBWA         ,26GA TAHOE BLUE / WASH PVDF 636SW                                                                   ,26,TAHOE BLUE/WASH     
636JT226TBWA        ,26GA TAHOE BLUE / WASH PVDF 636JT2                                                                  ,26,TAHOE BLUE/WASH     
636WT26TBWA         ,26GA TAHOE BLUE / WASH PVDF 636WT                                                                   ,26,TAHOE BLUE/WASH     
FLAT24PONWA4896     ,"24GA PONDEROSA / WASH PVDF 48"" x 96"" FLAT                                                           ",24,PONDEROSA/WASH      
636SB22BWWW         ,22GA BONE WHITE / WHITE WHITE SMP 636SB                                                             ,22,BONE WHITE/WHITE    
636HD22BWWW         ,22GA BONE WHITE / WHITE WHITE SMP 636HD                                                             ,22,BONE WHITE/WHITE    
636JT222BWWW        ,22GA BONE WHITE / WHITE WHITE SMP 636JT2                                                            ,22,BONE WHITE/WHITE    
BOBA24ANWA          ,24GA ACORN / WASH PVDF BOARD & BATTEN                                                               ,24,ACORN/WASH          
CORP26BKBK          ,*PERF* 26GA BLACK / BLACK SMP CORRUGATED                                                            ,26,BLACK/BLACK         
VH3624CGWA          ,24GA CHARCOAL GREY / WASH SMP VH36                                                                  ,24,CHARCOAL GREY/WASH  
BBWT226CPWA         ,26GA COPPER PENNY / WASH PVDF BBWT2                                                                 ,26,COPPER PENNY/WASH   
BBCC26CPWA          ,26GA COPPER PENNY / WASH PVDF BBCC                                                                  ,26,COPPER PENNY/WASH   
EZJ.7524CPWA        ,"24GA COPPER PENNY / WASH PVDF 3/4"" EZLOK J-TRIM                                                     ",24,COPPER PENNY/WASH   
BOBA26CPWA          ,26GA COPPER PENNY / WASH PVDF BOARD & BATTEN                                                        ,26,COPPER PENNY/WASH   
CLF24OZGWA36        ,"*CUSTOM LENGTH* 24GA OLD ZINC GREY / WASH PVDF 36"" FLASHING                                         ",24,OLD ZINC GREY/WASH  
CLF24OZGWA30        ,"*CUSTOM LENGTH* 24GA OLD ZINC GREY / WASH PVDF 30"" FLASHING                                         ",24,OLD ZINC GREY/WASH  
CLF24OZGWA24        ,"*CUSTOM LENGTH* 24GA OLD ZINC GREY / WASH PVDF 24"" FLASHING                                         ",24,OLD ZINC GREY/WASH  
CLF24OZGWA18        ,"*CUSTOM LENGTH* 24GA OLD ZINC GREY / WASH PVDF 18"" FLASHING                                         ",24,OLD ZINC GREY/WASH  
CLF24OZGWA15        ,"*CUSTOM LENGTH* 24GA OLD ZINC GREY / WASH PVDF 15"" FLASHING                                         ",24,OLD ZINC GREY/WASH  
CLF24OZGWA12        ,"*CUSTOM LENGTH* 24GA OLD ZINC GREY / WASH PVDF 12"" FLASHING                                         ",24,OLD ZINC GREY/WASH  
CLF24OZGWA9         ,"*CUSTOM LENGTH* 24GA OLD ZINC GREY / WASH PVDF 9"" FLASHING                                          ",24,OLD ZINC GREY/WASH  
CLF24OZGWA6         ,"*CUSTOM LENGTH* 24GA OLD ZINC GREY / WASH PVDF 6"" FLASHING                                          ",24,OLD ZINC GREY/WASH  
CLF24OZGWA4         ,"*CUSTOM LENGTH* 24GA OLD ZINC GREY / WASH PVDF 4"" FLASHING                                          ",24,OLD ZINC GREY/WASH  
1236R24IRONCA       ,*REVERSE* 24GA IRON ORE / CASHMERE SMP WF1236                                                       ,24,IRON ORE/CASHMERE   
BOBA24REWA          ,24GA REGAL BLUE / WASH PVDF BOARD & BATTEN                                                          ,24,REGAL BLUE/WASH     
PROEAVE24ALWA       ,24GA ANTIQUE LINEN / WASH SMP PROEAVE                                                               ,24,ANTIQUE LINEN/WASH  
CORSW24CWRG         ,24GA CAMBRIDGE WHITE / REGENT GREY SMP CORSW                                                        ,24,CAMBRIDGE WHITE/REG 
PROTEK24LBKWA       ,24GA LOW GLOSS BLACK / WASH PVDF PROTEK                                                             ,24,LOW GLOSS BLACK/WASH
EZJ.7524FROWA       ,"24GA FRONTIER / WASH PVDF 3/4"" EZLOK J-TRIM                                                         ",24,FRONTIER/WASH       
QLOC.7524FROWA      ,24GA FRONTIER / WASH PVDF QLOC.75                                                                   ,24,FRONTIER/WASH       
HFDC24ASHWA         ,24GA ASHWOOD / WASH PE HFDC                                                                         ,24,ASHWOOD/WASH        
636ICP26WHWA        ,26GA BRITE WHITE / WASH SMP 636ICP                                                                  ,26,BRITE WHITE/WASH    
WSPROW29DKWA        ,29GA DARK BROWN / WASH SMP WSPROW                                                                   ,29,DARK BROWN/WASH     
SPS24ANAN           ,24GA ACORN / ACORN PVDF SHEAR PANEL SHEET                                                           ,24,ACORN/ACORN         
SPSFLAT24ANAN       ,"24GA ACORN / ACORN PVDF 48"" x 81-3/8"" FLAT                                                          ",24,ACORN/ACORN         
1236PEAK26PWDK      ,26GA POLAR WHITE / DARK BROWN SMP 1236PEAK                                                          ,26,POLAR WHITE/DARK BRO
DC29CGIRON          ,29GA CHARCOAL GREY / IRON ORE SMP DURACLAD                                                          ,29,IRON ORE/CHARCOAL GR
DCOCP24PONWA        ,24GA PONDEROSA / WASH PVDF DCOCP                                                                    ,24,PONDEROSA/WASH      
WV2424RGWA          ,24GA REGENT GREY / WASH SMP WV24                                                                    ,24,REGENT GREY/WASH    
HF622DBCWA          ,22GA CAS DARK BRONZE / WASH PVDF HF6                                                                ,22,CAS DARK BRONZE/WASH
SC22DBCWA9          ,"22GA CAS DARK BRONZE / WASH PVDF 9.668"" SLIT COIL                                                   ",22,CAS DARK BRONZE/WASH
FLAT26PWBC3696      ,"26GA POLAR WHITE / BLACK COFFEE SMP 36"" x 96"" FLAT                                                  ",26,POLAR WHITE/BLACK CO
BOBA24WAGWA         ,24GA WAGONWOOD / WASH PVDF BOARD & BATTEN                                                           ,24,WAGONWOOD/WASH      
QLIC.7524TBWA       ,26GA TAHOE BLUE / WASH PVDF QLIC.75                                                                 ,26,TAHOE BLUE/WASH     
QLOC.7526TBWA       ,26GA TAHOE BLUE / WASH PVDF QLOC.75                                                                 ,26,TAHOE BLUE/WASH     
CF24BIRWA36         ,"*36"" CUSTOM* 24GA BIRCH / WASH PVDF FLASHING                                                        ",24,BIRCH/WASH          
CF24BIRWA30         ,"*30"" CUSTOM* 24GA BIRCH / WASH PVDF FLASHING                                                        ",24,BIRCH/WASH          
CF24BIRWA24         ,"*24"" CUSTOM* 24GA BIRCH / WASH PVDF FLASHING                                                        ",24,BIRCH/WASH          
CF24BIRWA18         ,"*18"" CUSTOM* 24GA BIRCH / WASH PVDF FLASHING                                                        ",24,BIRCH/WASH          
CF24BIRWA15         ,"*15"" CUSTOM* 24GA BIRCH / WASH PVDF FLASHING                                                        ",24,BIRCH/WASH          
CF24BIRWA12         ,"*12"" CUSTOM* 24GA BIRCH / WASH PVDF FLASHING                                                        ",24,BIRCH/WASH          
CF24BIRWA9          ,"*9"" CUSTOM* 24GA BIRCH / WASH PVDF FLASHING                                                         ",24,BIRCH/WASH          
CF24BIRWA6          ,"*6"" CUSTOM* 24GA BIRCH / WASH PVDF FLASHING                                                         ",24,BIRCH/WASH          
CF24BIRWA4          ,"*4"" CUSTOM* 24GA BIRCH / WASH PVDF FLASHING                                                         ",24,BIRCH/WASH          
636DC24BIRWA        ,24GA BIRCH / WASH PVDF 636DC                                                                        ,24,BIRCH/WASH          
PRJT224BIRWA        ,24GA BIRCH / WASH PVDF PRJT2                                                                        ,24,BIRCH/WASH          
QLIC124BIRWA        ,24GA BIRCH / WASH PVDF QLIC1                                                                        ,24,BIRCH/WASH          
QLOC124BIRWA        ,24GA BIRCH / WASH PVDF QLOC1                                                                        ,24,BIRCH/WASH          
VP1224BIRWA         ,"24GA BIRCH / WASH PVDF 12"" VARIABLE PLANK                                                           ",24,BIRCH/WASH          
VP824BIRWA          ,"24GA BIRCH / WASH PVDF 8"" VARIABLE PLANK                                                            ",24,BIRCH/WASH          
VP4524BIRWA         ,"24GA BIRCH / WASH PVDF 4.5"" VARIABLE PLANK                                                          ",24,BIRCH/WASH          
DCGT24CNWA          ,24GA CANYON / WASH PVDF DCGT                                                                        ,24,CANYON/WASH         
CORICP29HBWA        ,29GA HERON BLUE / WASH SMP CORICP                                                                   ,29,HERON BLUE/WASH     
HF12R1P24RBBW       ,*1 RIB*PERF* 24GA ROYAL BLUE / BONE WHITE SMP HF12                                                  ,24,ROYAL BLUE/BONE WHIT
HF12R124KBWA        ,*1 RIB* 24GA KONA BROWN / WASH TEX HF12                                                             ,24,KONA BROWN/WASH     
DCJT224ASHWA        ,24GA ASHWOOD / WASH PE DCJT2                                                                        ,24,ASHWOOD/WASH        
VP826PWDK           ,"26GA POLAR WHITE / DARK BROWN SMP 8"" VARIABLE PLANK                                                 ",26,POLAR WHITE/DARK BRO
LAP24ASHWA          ,24GA ASHWOOD / WASH PE LAP SIDING                                                                   ,24,ASHWOOD/WASH        
PBJT24DKPW          ,24GA DARK BROWN / POLAR WHITE SMP PBJT                                                              ,24,DARK BROWN/POLAR WHI
FLATP24CGBK48120    ,"*PERF* 24GA CHARCOAL GREY / BLACK SMP 48"" x 120"" FLAT                                               ",24,CHARCOAL GREY/BLACK 
636SKY2B29CGWA      ,29GA CHARCOAL GREY / WASH SMP 636SKY2B                                                              ,29,CHARCOAL GREY/WASH  
CLF24LZWA36         ,"*CUSTOM LENGTH* 24GA LIGHT ZINC / WASH PVDF 36"" FLASHING                                            ",24,LIGHT ZINC/WASH     
CLF24LZWA30         ,"*CUSTOM LENGTH* 24GA LIGHT ZINC / WASH PVDF 30"" FLASHING                                            ",24,LIGHT ZINC/WASH     
CLF24LZWA24         ,"*CUSTOM LENGTH* 24GA LIGHT ZINC / WASH PVDF 24"" FLASHING                                            ",24,LIGHT ZINC/WASH     
CLF24LZWA18         ,"*CUSTOM LENGTH* 24GA LIGHT ZINC / WASH PVDF 18"" FLASHING                                            ",24,LIGHT ZINC/WASH     
CLF24LZWA15         ,"*CUSTOM LENGTH* 24GA LIGHT ZINC / WASH PVDF 15"" FLASHING                                            ",24,LIGHT ZINC/WASH     
CLF24LZWA12         ,"*CUSTOM LENGTH* 24GA LIGHT ZINC / WASH PVDF 12"" FLASHING                                            ",24,LIGHT ZINC/WASH     
CLF24LZWA9          ,"*CUSTOM LENGTH* 24GA LIGHT ZINC / WASH PVDF 9"" FLASHING                                             ",24,LIGHT ZINC/WASH     
CLF24LZWA6          ,"*CUSTOM LENGTH* 24GA LIGHT ZINC / WASH PVDF 6"" FLASHING                                             ",24,LIGHT ZINC/WASH     
CLF24LZWA4          ,"*CUSTOM LENGTH* 24GA LIGHT ZINC / WASH PVDF 4"" FLASHING                                             ",24,LIGHT ZINC/WASH     
PRJT224LZWA         ,24GA LIGHT ZINC / WASH PVDF PRJT2                                                                   ,24,LIGHT ZINC/WASH     
HFOCP24LZWA         ,24GA LIGHT ZINC / WASH PVDF HFOCP                                                                   ,24,LIGHT ZINC/WASH     
HFDC24LZWA          ,24GA LIGHT ZINC / WASH PVDF HFDC                                                                    ,24,LIGHT ZINC/WASH     
PR1626DKPW          ,26GA DARK BROWN / POLAR WHITE SMP PROLOK 16                                                         ,26,POLAR WHITE/DARK BRO
CLF18GA36           ,"*CUSTOM LENGTH* 18GA GALVANIZED 36"" FLASHING                                                        ",18,GALVANIZED          
CLF18GA30           ,"*CUSTOM LENGTH* 18GA GALVANIZED 30"" FLASHING                                                        ",18,GALVANIZED          
CLF18GA24           ,"*CUSTOM LENGTH* 18GA GALVANIZED 24"" FLASHING                                                        ",18,GALVANIZED          
CLF18GA18           ,"*CUSTOM LENGTH* 18GA GALVANIZED 18"" FLASHING                                                        ",18,GALVANIZED          
CLF18GA15           ,"*CUSTOM LENGTH* 18GA GALVANIZED 15"" FLASHING                                                        ",18,GALVANIZED          
CLF18GA12           ,"*CUSTOM LENGTH* 18GA GALVANIZED 12"" FLASHING                                                        ",18,GALVANIZED          
CLF18GA9            ,"*CUSTOM LENGTH* 18GA GALVANIZED 9"" FLASHING                                                         ",18,GALVANIZED          
CLF18GA6            ,"*CUSTOM LENGTH* 18GA GALVANIZED 6"" FLASHING                                                         ",18,GALVANIZED          
CLF18GA4            ,"*CUSTOM LENGTH* 18GA GALVANIZED 4"" FLASHING                                                         ",18,GALVANIZED          
MC24WZWA36S         ,"24GA WEATHERED ZINC / WASH PVDF 36"" GR33 MASTER COIL                                                ",24,WEATHERED ZINC/WASH 
HFOCP26DGWWA        ,26GA WF DARK GREEN / WASH PVDF HFOCP                                                                ,26,WF DARK GREEN/WASH  
HF6P24MBWA          ,*PERF* 24GA METRO BROWN / WASH SMP HF6                                                              ,24,METRO BROWN/WASH    
AC24WAWH            ,24GA WASH / BRITE WHITE SMP ALLCLAD                                                                 ,24,BRITE WHITE/WASH    
LT829BSWA           ,29GA BUCKSKIN / WASH SMP LT8                                                                        ,29,BUCKSKIN/WASH       
1236R26SGRB         ,*REVERSE* 26GA STONE GREY / ROYAL BLUE SMP WF1236                                                   ,26,ROYAL BLUE/STONE GRE
WSPEAK29WW          ,29GA WHTE WHITE / WHITEWASH SMP WSPEAK                                                              ,29,CLAY/WASH           
MC24ANWA43S         ,"24GA ACORN / WASH PVDF PRINTECH 43"" GR33 MASTER COIL                                                ",24,ACORN/WASH          
MC22SLGWA43S        ,"22GA SLATE GREY / WASH PVDF 43"" GR33 MASTER COIL                                                    ",22,COPPER PENNY/WASH   
CORJT124HEMWA       ,24GA HEMLOCK GREEN / WASH PVDF CORJT1                                                               ,24,HEMLOCK GREEN/WASH  
HF12P24BRWA         ,*PERF* 24GA BRITE RED / WASH SMP HF12                                                               ,24,BRITE RED/WASH      
RT2L26BRWA          ,26GA BRITE RED / WASH SMP RT2L                                                                      ,26,BRITE RED/WASH      
CF26CADWG36         ,"*36"" CUSTOM* 26GA CASHMERE / DEEP WATER GREEN SMP FLASHING                                          ",26,DEEP WATER/CASHMERE 
CF26CADWG30         ,"*30"" CUSTOM* 26GA CASHMERE / DEEP WATER GREEN SMP FLASHING                                          ",26,DEEP WATER/CASHMERE 
CLF20GA48           ,"*CUSTOM LENGTH* 20GA GALVANIZED 48"" FLASHING                                                        ",20,GALVANIZED          
BBICC26IRONSW       ,26GA IRON ORE / SURF WHITE SMP BBICC                                                                ,26,IRON ORE/SURF WHITE 
SB126FGAL           ,26GA FOREST GREEN (MED GREEN) / ANTIQUE LINEN SMP SB1                                               ,26,ANTIQUE LINEN/FOREST
DCPEAK26FGAL        ,26GA FOREST GREEN (MED GREEN) / ANTIQUE LINEN SMP DCPEAK                                            ,26,ANTIQUE LINEN/FOREST
EZJ.7524CGWA        ,"24GA CHARCOAL GREY / WASH SMP 3/4"" EZLOK J-TRIM                                                     ",24,CHARCOAL GREY/WASH  
BBICC26CGWA         ,26GA CHARCOAL GREY / WASH SMP BBICC                                                                 ,26,CHARCOAL GREY/WASH  
BBWT226CGWA         ,26GA CHARCOAL GREY / WASH SMP BBWT2                                                                 ,26,CHARCOAL GREY/WASH  
1236HD26DRWA        ,26GA DARK RED / WASH SMP 1236HD                                                                     ,26,DARK RED/WASH       
636PEAK26DRWA       ,26GA DARK RED / WASH SMP 636PEAK                                                                    ,26,DARK RED/WASH       
1236R24WADR         ,*REVERSE* 24GA WASH / DARK RED SMP WF1236                                                           ,24,DARK RED/WASH       
DCCC24TNWA          ,24GA TAN / WASH SMP DCCC                                                                            ,24,TAN/WASH            
WSCC29PTWA          ,29GA PACIFIC TURQUOISE / WASH SMP WSCC                                                              ,29,BRITE GREEN/WASH    
LAP24PONWA          ,24GA PONDEROSA / WASH PVDF LAP SIDING                                                               ,24,PONDEROSA/WASH      
WS126PSPT           ,26GA PEBBLESTONE / PACIFIC TURQUOISE SMP WS1                                                        ,26,PACIFIC TURQ/PEBBLE 
MC26PTPS36S         ,"26GA PACIFIC TURQUOISE / PEBBLESTONE SMP 36"" GR33 MASTER COIL                                       ",26,PACIFIC TURQ/PEBBLE 
DCCC24CWRG          ,24GA CAMBRIDGE WHITE / REGENT GREY SMP DCCC                                                         ,24,CAMBRIDGE WHITE/REG 
EW26BKBK            ,26GA BLACK / BLACK SMP EW                                                                           ,26,BLACK/BLACK         
CORCCH29IRONWA      ,29GA IRON ORE / WASH SMP CORCCH                                                                     ,29,IRON ORE/WASH       
SWWT26TBWA          ,26GA TAHOE BLUE / WASH PVDF SWWT                                                                    ,26,TAHOE BLUE/WASH     
VP1226TBWA          ,"26GA TAHOE BLUE / WASH PVDF 12"" VARIABLE PLANK                                                      ",26,TAHOE BLUE/WASH     
EZT124SADWA         ,"24GA SADDLE / WASH PVDF 1"" EZLOK T-TRIM                                                             ",24,SADDLE/WASH         
WSJT226TNWA         ,26GA TAN / WASH SMP WSJT2                                                                           ,26,TAN/WASH            
MC24ECBS48S         ,"24GA EPERNAY CHAMPAGNE / BUCKSKIN PVDF 48"" GR33 MASTER COIL                                         ",24,EPERNAY CHAMP/BUCKSK
MC22HMBS48S         ,"22GA HAZELNUT MICA / BUCKSKIN PVDF 48"" GR33 MASTER COIL *S/O                                        ",22,HAZELNUT/BUCKSKIN   
MC22ECGRA48S        ,"22GA EPERNAY CHAMPAGNE / GRAPHITE TEX 48"" GR33 MASTER COIL *S/O                                     ",22,EPERNAY CHAMP/GRAPH 
OHDE29IRONWA        ,29GA IRON ORE / WASH SMP OHDE                                                                       ,29,IRON ORE/WASH       
OHDD29IRONWA        ,29GA IRON ORE / WASH SMP OHDD                                                                       ,29,IRON ORE/WASH       
DCICC29TQWA         ,29GA TURQUOISE / WASH SMP DCICC                                                                     ,29,TURQUOISE/WASH      
